Date,stats
2016 MAY,2.4
2016 JUN,2.4
2016 JUL,2.9
2016 AUG,2
2016 SEP,2.8
2016 OCT,2.9
2016 NOV,3.6
2016 DEC,1.7
2017 JAN,1.8
2017 FEB,2.7
2017 MAR,3.3
2017 APR,1.3
2017 MAY,2.5
2017 JUN,3.9
2017 JUL,1.7
2017 AUG,2.7
2017 SEP,3.4
2017 OCT,2.7
2017 NOV,2.6
2017 DEC,3.7
2018 JAN,2.7
2018 FEB,2.3
2018 MAR,2.4
2018 APR,2.4
2018 MAY,2.4
2018 JUN,1.8
2018 JUL,3.5
2018 AUG,3.5
2018 SEP,3.1
2018 OCT,5.2
2018 NOV,3.6
2018 DEC,3.5
2019 JAN,4.7
2019 FEB,3.5
2019 MAR,2.8
2019 APR,3.3
2019 MAY,4.2
2019 JUN,4
2019 JUL,4
2019 AUG,3.3
2019 SEP,4.1
2019 OCT,2
2019 NOV,3.5
2019 DEC,2.7
2020 JAN,3.8
2020 FEB,2.2
2020 MAR,0.5
2020 APR,-0.7
2020 MAY,-1.6
2020 JUN,-2.4
2020 JUL,-0.7
2020 AUG,2.4
2020 SEP,2.8
2020 OCT,4.6
2020 NOV,6
2020 DEC,6.6
2021 JAN,4.8
2021 FEB,4.5
2021 MAR,4.6
2021 APR,10.3
2021 MAY,11
2021 JUN,10.7
2021 JUL,8.9
2021 AUG,7
2021 SEP,5.6
2021 OCT,5.2
2021 NOV,4.2
2021 DEC,8
2022 JAN,6.5
2022 FEB,6.4
2022 MAR,12.8
2022 APR,6
2022 MAY,4.6
2022 JUN,8.3
2022 JUL,7.1
2022 AUG,7.4
2022 SEP,7.2
2022 OCT,7.2
2022 NOV,8.4
2022 DEC,4.6
